-391.4584,7739.9237,+1
-9748.0146,1569.8253,+1
-8671.2126,-4151.0572,+1
-259.8046,-6475.5822,-1
-78.9248,2436.9089,+1
4639.5158,9757.1153,+1
-1959.1739,7691.2268,+1
-6192.7459,3335.9276,+1
-2302.8235,-7051.1478,-1
6344.4625,-7793.8181,-1
6310.7087,6408.0428,+1
-4635.8186,-8063.9099,-1
1139.6397,6630.8227,+1
3539.4161,-4896.3905,-1
4525.8749,4999.8226,+1
-2962.9008,9074.6042,+1
9032.2955,1998.5823,-1
4332.0372,7935.912,+1
-7715.3656,-1303.1766,+1
6886.9628,2594.0299,-1
6404.9622,-8536.3842,-1
9595.2868,4394.8905,-1
9330.2249,-3040.6999,-1
1958.5836,-335.5229,-1
6614.763,-8572.0664,-1
-714.5504,-5831.3999,-1
3975.6063,4638.7795,+1
-8390.7243,-2024.135,+1
8450.3791,-1270.673,-1
-4572.5591,6201.2811,+1
-1121.3354,8202.8966,+1
1807.688,-1121.9046,-1
-8539.585,-1033.1578,+1
8154.1847,23.5975,-1
569.8233,8284.0879,+1
-9283.9381,-6724.1695,+1
-6882.9614,-231.8804,+1
-2379.6007,5420.0807,+1
-7181.371,3406.5091,+1
1502.1813,6380.3027,+1
2145.8836,4615.2982,+1
4875.3765,2385.1621,-1
-5038.6724,-7103.4754,-1
-287.7519,-2304.483,-1
-9047.1651,-9335.9292,-1
2623.6509,-3811.2156,-1
-6246.029,5317.0742,+1
2215.5361,4399.4352,+1
1881.3284,4455.977,+1
8175.8004,-7458.4337,-1
5200.3221,-8227.1799,-1
3654.249,8182.2208,+1
-6916.386,8784.5612,+1
8830.2408,-1270.4523,-1
-5081.9397,-8570.8886,-1
7074.889,1894.7764,-1
1516.0901,-2960.2106,-1
7292.5301,-8645.2978,-1
-5978.8384,8165.671,+1
-6147.7758,-7377.2088,-1
-618.9675,-2855.5265,-1
-7298.1975,-7757.6083,-1
-347.3762,8518.0245,+1
-5476.9565,-8210.6141,-1
141.4337,-3980.6836,-1
5499.1861,-9852.5058,-1
-4977.2792,3304.2479,+1
-6078.8349,9872.366,+1
5123.6436,-3430.6495,-1
824.3128,-433.055,-1
-5664.6036,5870.0375,+1
2764.286,5291.4096,+1
4796.1762,-7456.7126,-1
3680.506,4945.6611,+1
-2838.3065,-6187.6857,-1
1487.7507,-4753.008,-1
-2165.3854,-3579.162,-1
-4597.1368,-9906.0554,-1
-3742.9181,3221.8345,+1
138.4594,7562.647,+1
-8477.8151,9287.8682,+1
-7341.7565,1938.9321,+1
-2426.9811,-2037.4132,+1
5765.0964,766.5932,-1
-932.06,-9715.4017,-1
-3635.0648,-4539.7237,-1
-1961.7023,-5400.1813,-1
3668.6822,-2710.0247,-1
-6146.735,-7588.5604,-1
3034.6598,-3758.5254,-1
-8594.4491,2999.1729,+1
6977.9643,-7973.4054,-1
-3152.7989,-5767.3941,-1
-8175.8849,-4947.6562,+1
-5859.509,2321.0792,+1
7836.9747,4328.2375,-1
7304.4104,6764.9753,+1
-9608.6519,-3375.1488,+1
-8874.932,3452.9103,+1
-5238.3858,-501.3065,+1
-8898.3314,6809.6178,+1
1997.4992,-4410.9369,-1
9300.87,-8245.3223,-1
-9062.0186,2352.5001,+1
9370.1023,-7473.3487,-1
